分箱,横坐标,平均残差,样本数,方案,特征
"(35.008, 50.172]",42.759500531914895,-122.36381096911299,188,M2,area_sqm
"(50.172, 67.029]",58.34575721925134,-17.241916670665162,187,M2,area_sqm
"(67.029, 81.296]",74.24616170212765,86.494261578011,188,M2,area_sqm
"(81.296, 97.261]",89.46077967914438,98.70432741397636,187,M2,area_sqm
"(97.261, 112.08]",104.29868823529412,70.67029421664736,187,M2,area_sqm
"(112.08, 125.901]",119.08296117021276,15.09039857760242,188,M2,area_sqm
"(125.901, 139.859]",133.11252780748663,-2.7958428005349294,187,M2,area_sqm
"(139.859, 154.984]",147.0138335106383,-78.45989064236832,188,M2,area_sqm
"(35.008, 50.172]",42.759500531914895,-15.862789096213113,188,M5,area_sqm
"(50.172, 67.029]",58.34575721925134,-4.031882280340103,187,M5,area_sqm
"(67.029, 81.296]",74.24616170212765,32.3197653885563,188,M5,area_sqm
"(81.296, 97.261]",89.46077967914438,25.241639777726686,187,M5,area_sqm
"(97.261, 112.08]",104.29868823529412,0.05216424401902881,187,M5,area_sqm
"(112.08, 125.901]",119.08296117021276,-26.123357608028954,188,M5,area_sqm
"(125.901, 139.859]",133.11252780748663,-2.405489975677979,187,M5,area_sqm
"(139.859, 154.984]",147.0138335106383,26.937078730801716,188,M5,area_sqm
"(119.999, 469.23]",207.06814734042553,166.46826549177476,188,M2,metro_m
"(469.23, 1040.809]",762.7804754010695,-9.227145910684504,187,M2,metro_m
"(1040.809, 1515.413]",1289.5359760638298,-84.64087641989407,188,M2,metro_m
"(1515.413, 1930.779]",1740.0325187165777,-83.01613564229449,187,M2,metro_m
"(1930.779, 2353.323]",2136.927750802139,-64.82061821952313,187,M2,metro_m
"(2353.323, 2776.711]",2561.7927287234043,-26.90387635534044,188,M2,metro_m
"(2776.711, 3261.574]",3002.979856684492,25.71273010705614,187,M2,metro_m
"(3261.574, 4900.0]",3803.529219680851,125.0324562065845,188,M2,metro_m
"(119.999, 469.23]",207.06814734042553,7.226583434808825,188,M5,metro_m
"(469.23, 1040.809]",762.7804754010695,-11.85023894144975,187,M5,metro_m
"(1040.809, 1515.413]",1289.5359760638298,-10.19349524632673,188,M5,metro_m
"(1515.413, 1930.779]",1740.0325187165777,-3.821614433465702,187,M5,metro_m
"(1930.779, 2353.323]",2136.927750802139,6.163711492378248,187,M5,metro_m
"(2353.323, 2776.711]",2561.7927287234043,16.922960275157617,188,M5,metro_m
"(2776.711, 3261.574]",3002.979856684492,22.15105624589034,187,M5,metro_m
"(3261.574, 4900.0]",3803.529219680851,9.495115729370017,188,M5,metro_m
