listing_id,area_dm2,building_age_years,monthly_rent
A0000458,8328.081,9,3432.5594
A0000419,6246.9709,7,3047.2499
A0001146,6570.031,5,3217.5573
A0000384,6577.0853,9,3062.3527
A0000799,6097.767,9,2963.7903
A0000589,7797.7156,6,3434.1556
A0000356,8553.209,9,3778.9609
A0000246,6752.8915,6,3301.5361
A0000750,7578.021,11,3431.4615
A0000779,5861.3412,5,2952.1429
A0001042,5842.4443,11,2887.0591
A0000187,7178.9187,9,3122.4207
A0000602,5756.2744,9,2798.9776
A0000911,8361.3378,11,3729.1573
A0000893,5978.066,10,3193.8431
A0000953,6270.5499,8,3283.2433
A0000871,7268.3671,6,3365.931
A0000298,7908.3946,6,3489.5934
A0001166,6060.5933,11,2979.0629
A0001172,7312.4057,11,3252.5767
A0000192,5809.6021,5,2832.0028
A0001198,7185.0655,8,3463.3082
A0000531,7418.5687,7,3380.7492
A0001199,6597.6225,6,3307.163
A0000399,7438.5267,9,3594.6875
A0000318,5796.3532,10,2638.872
A0000076,7550.039,6,3384.023
A0000488,7175.5156,10,3467.9008
A0000250,7634.2564,9,3384.9704
A0000723,5966.4046,6,2947.3004
A0000193,7544.2859,7,3484.7959
A0000992,7719.8668,9,3518.3589
A0000717,7067.0792,5,3313.9522
A0000729,7393.2217,8,3334.3496
A0000146,5763.9683,5,3008.809
A0000293,6570.7894,9,3066.243
A0000870,7242.8805,5,3501.5091
A0000726,5776.7557,5,2908.7381
A0001085,8399.5282,6,3514.2762
A0000481,7336.8592,9,3389.381
A0000393,6217.8284,9,2818.2959
A0000166,7882.2162,10,3348.3598
A0000999,8631.5389,7,3781.0161
A0000337,7635.4599,7,3485.5865
A0000584,8350.0309,9,3649.9934
A0000459,8108.5786,8,3357.9886
A0000835,7464.3887,11,3273.7181
A0001041,7210.5648,7,3388.9711
A0000313,6263.758,6,3159.0528
A0000102,6002.7627,8,2810.262
A0000094,6989.5969,5,3273.9684
A0000664,8184.7863,9,3745.8585
A0000194,6295.0533,10,3168.8133
A0000719,6443.1548,9,3225.9217
A0001082,8341.3893,11,3717.2257
A0000922,6717.7592,6,3282.8226
A0000400,8500.1033,8,3621.4305
A0000288,7276.0067,7,3300.1406
A0000597,7052.9935,7,3119.7669
A0000225,5817.9023,7,2997.8073
