listing_id,area_sqm,building_age_years,metro_m,center_km,bedrooms,floor,amenities_1km,renovation_score,has_elevator,sunlight_hours,monthly_rent
B0002711,60.0073,5,4022.2511,21.3507,1,10,4,3,1,5.6889,2342.3335
B0012825,115.2545,12,2491.8869,15.3625,4,10,3,2,1,5.1386,3585.2166
B0013895,128.4531,23,4032.9347,22.5887,4,16,5,3,1,7.5427,3802.4356
B0021501,92.0134,20,3795.6452,24.8774,2,9,3,2,1,3.3505,2713.1373
B0008808,93.9489,8,3971.3354,21.2283,3,11,5,3,1,6.7045,3390.3336
B0021255,53.841,26,3061.1804,11.4093,1,8,8,5,1,6.141,2426.5543
B0012289,100.939,21,362.5606,6.9531,3,18,9,2,1,5.9093,4138.5474
B0019590,125.7662,10,409.8583,13.5661,3,19,12,5,1,5.5813,5026.689
B0009444,50.1107,22,3674.6644,23.4154,1,20,3,2,1,2.7364,1701.613
B0016209,47.152,8,2428.8442,17.5424,2,28,7,2,1,5.6364,2425.2554
B0010088,129.6105,14,3250.0663,23.416,5,25,3,1,1,4.4854,3742.1297
B0000336,41.8089,21,1197.4278,11.9626,2,14,14,2,1,3.9909,2159.9497
B0006645,57.983,23,794.2818,5.7926,1,5,12,1,0,4.2603,2522.9221
B0003818,153.8578,28,1098.1552,3.5077,4,5,14,1,0,4.3021,4729.1364
B0006395,117.1515,22,1959.5919,4.5627,4,10,11,2,1,6.1699,4190.7927
B0017912,108.1167,9,1768.423,2.6848,3,7,11,3,1,5.6017,4490.7666
B0014647,118.4393,15,3784.9434,24.7904,5,10,2,3,1,4.8601,3623.5172
B0020036,72.2254,25,461.5342,7.4823,2,25,9,3,1,5.9555,3624.2187
B0011314,109.1842,21,2766.5269,16.2842,2,17,5,2,1,5.8945,3542.1616
B0011694,120.2183,16,3144.9795,22.1377,4,9,4,2,1,6.5855,3662.8539
B0003742,116.5095,11,120.0,3.2534,4,26,15,3,1,5.965,5251.703
B0002064,120.5699,31,3843.9811,19.9142,3,1,3,1,0,5.7263,3151.9059
B0005269,114.8931,22,1909.0045,10.9966,2,18,10,3,1,6.1638,3863.4706
B0009301,146.0634,15,3683.9413,23.7846,4,27,4,2,1,5.4623,4219.1457
B0001179,66.7319,14,3375.9104,16.6685,3,4,6,4,0,5.4842,2676.9136
