方法,lambda1,lambda2,CV_RMSE
无正则化,0.0,0.0,121.15716495368554
L1,0.01,0.0,121.15716021272975
L1,0.1,0.0,121.15719398942275
L1,1.0,0.0,121.16509958103734
L1,5.0,0.0,121.36653692070828
L1,10.0,0.0,121.99804875143428
L1,25.0,0.0,126.24672963068947
L1,50.0,0.0,133.7704247088058
L2,0.0,0.0001,121.15714928515325
L2,0.0,0.001,121.1572014668245
L2,0.0,0.01,121.17646827423998
L2,0.0,0.05,121.6347854666865
L2,0.0,0.1,122.90220602557345
L2,0.0,0.5,142.90091769659304
L2,0.0,1.0,166.05924997558773
L1+L2,0.01,0.0001,121.15714668767676
L1+L2,0.01,0.001,121.15721812110657
L1+L2,0.01,0.01,121.17667355720086
L1+L2,0.01,0.05,121.63574677144291
L1+L2,0.01,0.1,122.90393960088042
L1+L2,0.01,0.5,142.90488262729332
L1+L2,0.01,1.0,166.06305596693468
L1+L2,0.1,0.0001,121.15719973998971
L1+L2,0.1,0.001,121.15744429794796
L1+L2,0.1,0.01,121.17859597431462
L1+L2,0.1,0.05,121.64446705724374
L1+L2,0.1,0.1,122.91960264902424
L1+L2,0.1,0.5,142.9405903476496
L1+L2,0.1,1.0,166.09731954163195
L1+L2,1.0,0.0001,121.1652965208725
L1+L2,1.0,0.001,121.16725821657373
L1+L2,1.0,0.01,121.20523078890761
L1+L2,1.0,0.05,121.73845008183157
L1+L2,1.0,0.1,123.08225063004335
L1+L2,1.0,0.5,143.2999721953475
L1+L2,1.0,1.0,166.44090870502123
L1+L2,5.0,0.0001,121.36754772889492
L1+L2,5.0,0.001,121.3768183340947
L1+L2,5.0,0.01,121.48631822917288
L1+L2,5.0,0.05,122.30457487929453
L1+L2,5.0,0.1,123.93646849657223
L1+L2,5.0,0.5,144.94721609988497
L1+L2,5.0,1.0,167.98870553493126
L1+L2,10.0,0.0001,121.99998885908494
L1+L2,10.0,0.001,122.01760339848857
L1+L2,10.0,0.01,122.20860593393526
L1+L2,10.0,0.05,123.34870136925421
L1+L2,10.0,0.1,125.30036698637689
L1+L2,10.0,0.5,147.1178257890406
L1+L2,10.0,1.0,169.96997597527553
L1+L2,25.0,0.0001,126.25079794265737
L1+L2,25.0,0.001,126.28751218391237
L1+L2,25.0,0.01,126.66422521803426
L1+L2,25.0,0.05,128.5099543000791
L1+L2,25.0,0.1,131.12652130106105
L1+L2,25.0,0.5,154.14677724193368
L1+L2,25.0,1.0,176.03348939591655
L1+L2,50.0,0.0001,133.77696946787978
L1+L2,50.0,0.001,133.83590160112254
L1+L2,50.0,0.01,134.42796782262428
L1+L2,50.0,0.05,137.10425016310109
L1+L2,50.0,0.1,140.49475701153816
L1+L2,50.0,0.5,164.6993185859479
L1+L2,50.0,1.0,185.16960404458868
