,PC1,PC2,PC3
area_sqm,-0.1448236031025834,0.6380031456832641,0.014808924552442655
building_age_years,0.007927217167410421,0.00433955117950453,-0.32486257592046436
metro_m,0.5296938331504628,0.14149387577470024,0.0023034603262461245
center_km,0.5703211390670985,0.15292787597221696,0.010873660572381146
bedrooms,-0.12951752940811917,0.6299289238364113,0.007718797046463549
floor,0.0038178878413932422,-0.022733402192998207,0.6140898765756675
amenities_1km,-0.5548368476749381,-0.16212960357684855,-0.0017105530848253207
renovation_score,-0.016829930748580677,0.022353895829553688,0.25025538315499524
has_elevator,0.003798138482382351,-0.018085079496949086,0.6738641461857435
sunlight_hours,-0.2195234794130103,0.35367452620534634,0.015229361479949119
