step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.236863515928625361e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.402697282421510317e+04,5.818995699515552644e+01,2.408516278121025971e+04,1.801209785809723485e+02,3.319203307111111371e+03,4.344136944215329521e+01,-3.989474320500689952e+00
2.000000000000000000e+00,1.822971545028682885e+04,1.123737067580094333e+02,1.834208915704483661e+04,1.450455470778276776e+02,3.319203307111111371e+03,7.842205520638869132e+01,-7.408643987414037291e+00
3.000000000000000000e+00,1.445266108075647389e+04,1.608022371297731183e+02,1.461346331788624775e+04,1.168045540550817520e+02,3.319203307111111371e+03,1.065908601052040012e+02,-1.032823600837164868e+01
4.000000000000000000e+00,1.198941815255335132e+04,2.029474578268406333e+02,1.219236561038019136e+04,9.406550775455482949e+01,3.319203307111111371e+03,1.292750773097850185e+02,-1.281308291066647165e+01
5.000000000000000000e+00,1.038111188633113852e+04,2.389566045847196847e+02,1.062006849091585900e+04,7.575586567023164264e+01,3.319203307111111371e+03,1.475432212757923764e+02,-1.492173063484486306e+01
6.000000000000000000e+00,9.329536864320505629e+03,2.693208302189596566e+02,9.598857694539465228e+03,6.101229166786340841e+01,3.319203307111111371e+03,1.622555116080187929e+02,-1.670642397360811060e+01
7.000000000000000000e+00,8.640811628079425645e+03,2.946783614755587450e+02,8.935489989554984277e+03,4.913982425346190297e+01,3.319203307111111371e+03,1.741045023219459154e+02,-1.821333709276470714e+01
8.000000000000000000e+00,8.188814565654679427e+03,3.157014359206702920e+02,8.504516001575349947e+03,3.957901896782326645e+01,3.319203307111111371e+03,1.836477813128901175e+02,-1.948295400789249143e+01
9.000000000000000000e+00,7.891450798719219165e+03,3.330347622046169818e+02,8.224485560923836601e+03,3.187950668124615916e+01,3.319203307111111371e+03,1.913342886607709943e+02,-2.055053169512021682e+01
1.000000000000000000e+01,7.695243427405835064e+03,3.472651287172021739e+02,8.042508556123037124e+03,2.567871423913468121e+01,3.319203307111111371e+03,1.975254997807694224e+02,-2.144659908659610892e+01
1.100000000000000000e+01,7.565326479164824377e+03,3.589093842758732080e+02,7.924235863440697358e+03,2.068473897725348465e+01,3.319203307111111371e+03,2.025124759825723686e+02,-2.219746030558103911e+01
1.200000000000000000e+01,7.478943822064492451e+03,3.684128571323619781e+02,7.847356679196854202e+03,1.666256575407021501e+01,3.319203307111111371e+03,2.065295891471739083e+02,-2.282568148392817520e+01
1.300000000000000000e+01,7.421224168099894086e+03,3.761533509133150233e+02,7.797377519013209167e+03,1.342297372024694546e+01,3.319203307111111371e+03,2.097655696601657098e+02,-2.335054840791645603e+01
1.400000000000000000e+01,7.382434119847909642e+03,3.824477937949536113e+02,7.764881913642862855e+03,1.081360760752459349e+01,3.319203307111111371e+03,2.123723999662672668e+02,-2.378848784281520778e+01
1.500000000000000000e+01,7.356191311467802734e+03,3.875598297506645054e+02,7.743751141218467637e+03,8.711790939023993374e+00,3.319203307111111371e+03,2.144724741090829809e+02,-2.415344928866864649e+01
1.600000000000000000e+01,7.338301408110099146e+03,3.917073915290999935e+02,7.730008799639199424e+03,7.018741120307636194e+00,3.319203307111111371e+03,2.161643615487501791e+02,-2.445724657076603137e+01
