step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,1.124052018054583897e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.975111558310555120e+04,1.698838452581733918e+03,3.144995403568728580e+04,9.028553297844015901e+01,3.319203307111111371e+03,1.462598870665460993e+01,-0.000000000000000000e+00
2.000000000000000000e+00,2.735091412236741962e+04,3.142743233127853273e+03,3.049365735549527380e+04,7.251868538351865823e+01,3.319203307111111371e+03,2.637380076967991727e+01,-0.000000000000000000e+00
3.000000000000000000e+00,2.552298204126506971e+04,4.353716517214988926e+03,2.987669855848005682e+04,5.824808866122084794e+01,3.319203307111111371e+03,3.580981846640965216e+01,-0.000000000000000000e+00
4.000000000000000000e+00,2.411924001101779504e+04,5.359425002958031655e+03,2.947866501397582761e+04,4.678573273553227807e+01,3.319203307111111371e+03,4.338896848135017592e+01,-0.000000000000000000e+00
5.000000000000000000e+00,2.303333320128890773e+04,6.188538809139395198e+03,2.922187201042830202e+04,3.757899766173687794e+01,3.319203307111111371e+03,4.947665470611016758e+01,-0.000000000000000000e+00
6.000000000000000000e+00,2.218795489485630242e+04,6.868246036886682305e+03,2.905620093174298381e+04,3.018401086595202187e+01,3.319203307111111371e+03,5.436637499111279226e+01,-0.000000000000000000e+00
7.000000000000000000e+00,2.152624923467933695e+04,7.423068308756381157e+03,2.894931754343571811e+04,2.424424728293261566e+01,3.319203307111111371e+03,5.829387118306853210e+01,-0.000000000000000000e+00
8.000000000000000000e+00,2.100592809912674784e+04,7.874433179964605188e+03,2.888036127909135394e+04,1.947334066789055385e+01,3.319203307111111371e+03,6.144849464591520416e+01,-0.000000000000000000e+00
9.000000000000000000e+00,2.059520524050735912e+04,8.240668616659635518e+03,2.883587385716699646e+04,1.564127738602434192e+01,3.319203307111111371e+03,6.398233521658863765e+01,-0.000000000000000000e+00
1.000000000000000000e+01,2.026995603728793867e+04,8.537216573831392452e+03,2.880717261111933112e+04,1.256330705855506835e+01,3.319203307111111371e+03,6.601755371832291530e+01,-0.000000000000000000e+00
