step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.023293632498253487e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.483416603276799287e+04,8.877800945749719403e+02,2.572194612734296607e+04,1.628391937418579971e+02,3.319203307111111371e+03,3.949016950796750081e+01,-0.000000000000000000e+00
2.000000000000000000e+00,1.944854212940878278e+04,1.602992393907276210e+03,2.105153452331605877e+04,1.310573997492972182e+02,3.319203307111111371e+03,7.127274056003294334e+01,-3.145035639802973293e-02
3.000000000000000000e+00,1.584398924029845148e+04,2.182060242405967074e+03,1.802604948270441673e+04,1.054823367710082636e+02,3.319203307111111371e+03,9.685221576938653243e+01,-2.100290092176466672e-01
4.000000000000000000e+00,1.341496433717009495e+04,2.650899457668268496e+03,1.606586379483836390e+04,8.490114104569126141e+01,3.319203307111111371e+03,1.174400103053693130e+02,-4.771062999732791354e-01
5.000000000000000000e+00,1.176520149039521311e+04,3.030492644093065337e+03,1.479569413448827800e+04,6.833809978063850110e+01,3.319203307111111371e+03,1.340108154394436895e+02,-7.913376378659284782e-01
6.000000000000000000e+00,1.063469779901654692e+04,3.337828256152557060e+03,1.397252605516910444e+04,5.500825302326412469e+01,3.319203307111111371e+03,1.473488851137777260e+02,-1.124148275254558627e+00
7.000000000000000000e+00,9.852312226533793364e+03,3.586660905994377117e+03,1.343897313252817003e+04,4.428007869924180540e+01,3.319203307111111371e+03,1.580852666321816855e+02,-1.456322564102217498e+00
8.000000000000000000e+00,9.304963686363265879e+03,3.788126942463057730e+03,1.309309062882632315e+04,3.564548158095261954e+01,3.319203307111111371e+03,1.667277483045037059e+02,-1.775438452779222409e+00
9.000000000000000000e+00,8.917593007795296216e+03,3.951242851393021283e+03,1.286883585918831704e+04,2.869565567848864518e+01,3.319203307111111371e+03,1.736849496084334135e+02,-2.073947129792867550e+00
