step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.050370573623592281e+04,0.000000000000000000e+00,3.050370573623592281e+04,2.138670329151810563e+02,3.319203307111111371e+03,1.096949152999097521e+01,-1.057202880675754075e+00
2.000000000000000000e+00,2.830532545104522433e+04,0.000000000000000000e+00,2.830532545104522433e+04,2.034566897595006765e+02,3.319203307111111371e+03,2.140500771796802582e+01,-2.076044851803323432e+00
3.000000000000000000e+00,2.631526697461101867e+04,0.000000000000000000e+00,2.631526697461101867e+04,1.935533957201923272e+02,3.319203307111111371e+03,3.133255732950416927e+01,-3.057753957332471906e+00
4.000000000000000000e+00,2.451377829155533618e+04,0.000000000000000000e+00,2.451377829155533618e+04,1.841324392696987502e+02,3.319203307111111371e+03,4.077688152825551526e+01,-4.003529675377173191e+00
5.000000000000000000e+00,2.288298123611946357e+04,0.000000000000000000e+00,2.288298123611946357e+04,1.751703139558180453e+02,3.319203307111111371e+03,4.976151569341321590e+01,-4.914542783863570463e+00
6.000000000000000000e+00,2.140669362068691771e+04,0.000000000000000000e+00,2.140669362068691771e+04,1.666446595994428037e+02,3.319203307111111371e+03,5.830884822064726336e+01,-5.791935307259866939e+00
7.000000000000000000e+00,2.007026825811169692e+04,0.000000000000000000e+00,2.007026825811169692e+04,1.585342063633395071e+02,3.319203307111111371e+03,6.644017645382848514e+01,-6.636820536795237757e+00
8.000000000000000000e+00,1.886044727239252825e+04,0.000000000000000000e+00,1.886044727239252825e+04,1.508187215516973652e+02,3.319203307111111371e+03,7.417575988761954875e+01,-7.450283117122740606e+00
9.000000000000000000e+00,1.776523024489268937e+04,0.000000000000000000e+00,1.776523024489268937e+04,1.434789590070426470e+02,3.319203307111111371e+03,8.153487077418117224e+01,-8.233379192893956144e+00
1.000000000000000000e+01,1.677375488143994880e+04,0.000000000000000000e+00,1.677375488143994880e+04,1.364966109776360668e+02,3.319203307111111371e+03,8.853584226073050445e+01,-8.987136609192413417e+00
1.100000000000000000e+01,1.587618901063382691e+04,0.000000000000000000e+00,1.587618901063382691e+04,1.298542623346567098e+02,3.319203307111111371e+03,9.519611417849748136e+01,-9.712555160221064909e+00
