model,label,penalty,rmse_mean,rmse_std,mae_mean,parameter_count
basic,双特征 OLS,0.0,464.9127098302494,6.851850180610951,384.01357842040755,3
full,完整 OLS,0.0,185.4879410129184,3.4232545354204396,148.08134677432182,11
ridge,完整 Ridge,1e-05,185.48793610422138,3.4228478632227883,148.08103583940243,11
ridge,完整 Ridge,0.0001,185.48794847487312,3.4191881814721503,148.07826707818361,11
ridge,完整 Ridge,0.001,185.49359334948605,3.3826311888499925,148.05369636184005,11
ridge,完整 Ridge,0.01,186.03239785906248,3.0239411612188776,148.17308326755847,11
ridge,完整 Ridge,0.1,207.96542353493277,1.202696878322331,164.33494919224813,11
ridge,完整 Ridge,1.0,400.8125557417935,11.266823085738723,319.21718903517876,11
expanded,扩展回归,0.0,156.0690376925318,2.1241934345135025,124.5740974912043,14
expanded,扩展回归,1e-05,156.0690235055249,2.1238975246168383,124.57462065678207,14
expanded,扩展回归,0.0001,156.0693033493808,2.1212572441381052,124.57945816391,14
expanded,扩展回归,0.001,156.10929005839267,2.096819743155762,124.64657573938455,14
expanded,扩展回归,0.01,158.42601218860742,1.9055775520896925,126.60961232819889,14
expanded,扩展回归,0.1,191.56509726359752,1.3575760733806967,152.2506833682583,14
expanded,扩展回归,1.0,385.1234033454506,9.986385580063525,309.47319041734625,14
