field,mean,std,minimum,q25,median,q75,maximum
area_sqm,96.12587390666668,34.53838213378019,35.0088,66.108875,96.91730000000001,125.80924999999999,154.9905
building_age_years,16.1732,9.48704391755615,0.0,8.0,16.0,25.0,32.0
metro_m,1935.5742893333336,1124.0477740714732,120.0,1073.9343250000002,1908.0815499999999,2746.367525,4900.0
center_km,13.240583786666667,6.8474495347117275,1.5002,7.338525,13.268699999999999,19.17655,24.9999
bedrooms,2.9093333333333335,1.1938605150014214,1.0,2.0,3.0,4.0,5.0
floor,14.180533333333333,8.10288191169818,1.0,7.0,14.0,21.0,28.0
amenities_1km,7.7556,3.7874416961779,0.0,5.0,8.0,11.0,16.0
renovation_score,2.7756,1.039257097181382,1.0,2.0,3.0,3.0,5.0
has_elevator,0.73,0.44398905786569476,0.0,0.0,1.0,1.0,1.0
sunlight_hours,5.585922933333333,1.129283056674901,2.4,4.8332500000000005,5.588,6.350475,8.6
monthly_rent,3547.5676460399995,986.1154006076023,981.77,2808.04635,3600.2828,4260.65885,6364.998
