listing_id,area_sqm,building_age_years,metro_m,center_km,bedrooms,floor,amenities_1km,renovation_score,has_elevator,sunlight_hours,monthly_rent,PC1,PC2,PC3,UMAP1,UMAP2
B0002711,60.0073,5,4022.2511,21.3507,1,10,4,3,1,5.6889,2342.3335,2.535088422019262,-1.0374427930221504,0.5220446878306358,-1.0141969,2.0172071
B0012825,115.2545,12,2491.8869,15.3625,4,10,3,2,1,5.1386,3585.2166,1.0334620424637997,1.0919381601038944,0.06498219169484729,1.050105,4.67086
B0013895,128.4531,23,4032.9347,22.5887,4,16,5,3,1,7.5427,3802.4356,1.5417187806797932,2.3682250663178857,0.43566866348975497,1.4818288,4.4370794
B0021501,92.0134,20,3795.6452,24.8774,2,9,3,2,1,3.3505,2713.1373,3.108703590712219,-0.5696936707695858,-0.31400041106828885,-1.9498482,1.737189
B0008808,93.9489,8,3971.3354,21.2283,3,11,5,3,1,6.7045,3390.3336,1.8006172329186163,0.9096341982197058,0.5355336681196707,0.87394,2.9685237
B0021255,53.841,26,3061.1804,11.4093,1,8,8,5,1,6.141,2426.5543,0.5902635900742844,-1.4657840459744493,0.11684107945146219,-2.4289315,3.9160697
B0012289,100.939,21,362.5606,6.9531,3,18,9,2,1,5.9093,4138.5474,-1.519520821382512,-0.18987594511958844,0.34047127040551745,-2.6707492,7.5362687
B0019590,125.7662,10,409.8583,13.5661,3,19,12,5,1,5.5813,5026.689,-1.4835632414061966,0.24795928430109784,1.530879260669597,-0.8244676,7.099976
B0009444,50.1107,22,3674.6644,23.4154,1,20,3,2,1,2.7364,1701.613,3.340358518965609,-2.1416319636885413,0.4159321992710573,-2.7767384,1.5502881
B0016209,47.152,8,2428.8442,17.5424,2,28,7,2,1,5.6364,2425.2554,1.0102451856475227,-1.2484142027521263,1.5323181136676132,-2.5385175,3.4724176
B0010088,129.6105,14,3250.0663,23.416,5,25,3,1,1,4.4854,3742.1297,2.044811890358209,1.8928711267826237,0.9107042550121373,0.77754533,3.9701238
B0000336,41.8089,21,1197.4278,11.9626,2,14,14,2,1,3.9909,2159.9497,-0.713813474638216,-2.3965873917809906,-0.012980754573724178,-4.4216905,5.2727027
B0006645,57.983,23,794.2818,5.7926,1,5,12,1,0,4.2603,2522.9221,-1.1313605706102943,-2.598638814282661,-2.5278831280639182,16.35032,6.3110948
B0003818,153.8578,28,1098.1552,3.5077,4,5,14,1,0,4.3021,4729.1364,-2.2029525933780256,0.6725128876881686,-2.6419455855258307,13.662629,7.8825784
B0006395,117.1515,22,1959.5919,4.5627,4,10,11,2,1,6.1699,4190.7927,-1.4890799277169071,0.8038629419853769,-0.28460123141720634,-1.2695458,7.7629194
B0017912,108.1167,9,1768.423,2.6848,3,7,11,3,1,5.6017,4490.7666,-1.5072231496321178,-0.11070800799131081,0.1526504570324051,-1.5246089,7.2973757
B0014647,118.4393,15,3784.9434,24.7904,5,10,2,3,1,4.8601,3623.5172,2.4932462222138776,2.030265470761203,0.2252147357162762,1.8614974,3.962614
B0020036,72.2254,25,461.5342,7.4823,2,25,9,3,1,5.9555,3624.2187,-1.2184324270420643,-1.2055432624057343,0.9577391465866917,-4.2757726,6.5599074
B0011314,109.1842,21,2766.5269,16.2842,2,17,5,2,1,5.8945,3542.1616,1.0529682169344523,0.11521612827646797,0.283101672886569,-0.6949307,4.093461
B0011694,120.2183,16,3144.9795,22.1377,4,9,4,2,1,6.5855,3662.8539,1.459853787479988,1.83218064289808,-0.11450075812750238,1.2263106,4.46272
B0003742,116.5095,11,120.0,3.2534,4,26,15,3,1,5.965,5251.703,-3.026417982133734,0.26734901715597703,1.5348842223590577,-1.4253632,8.477298
B0002064,120.5699,31,3843.9811,19.9142,3,1,3,1,0,5.7263,3151.9059,2.041025492242572,1.171570341390399,-3.0127283623964036,12.617151,4.198843
B0005269,114.8931,22,1909.0045,10.9966,2,18,10,3,1,6.1638,3863.4706,-0.6152863765974252,-0.11591138792261284,0.5591335243935324,-1.6621096,6.393981
B0009301,146.0634,15,3683.9413,23.7846,4,27,4,2,1,5.4623,4219.1457,1.9686514471740464,2.011508391421226,1.2836479598332156,1.2957293,3.8930788
B0001179,66.7319,14,3375.9104,16.6685,3,4,6,4,0,5.4842,2676.9136,1.3220280153951547,-0.11034268092771765,-1.5145523148371547,13.928409,4.565897
B0001842,152.467,17,2911.5126,23.9086,5,9,0,3,0,5.7489,3844.2359,1.9783488213350702,2.9376821683283594,-1.4126267180833991,11.864593,4.788413
B0016841,58.4286,8,3683.5944,20.7276,1,18,2,3,1,6.9244,2606.144,2.389305435977225,-0.6716444897213335,1.0408485016535713,-1.1796349,2.5116103
B0020500,153.4889,7,3163.4956,23.8395,5,18,2,3,1,7.7056,4512.3786,1.418100168090526,3.4434059079215444,1.1561303235036986,2.2270753,5.3369627
B0013598,107.8637,23,1383.1127,4.2017,3,10,10,3,0,6.3134,3918.2957,-1.5486936548636208,0.1744340183394709,-1.6056947940976318,14.22049,7.220734
B0016775,68.4903,5,999.0022,5.4746,3,5,9,3,1,4.6433,3350.4353,-0.9962415733395639,-1.0880720481225532,0.1118869293134961,-2.1420317,6.1646347
B0021453,130.7913,30,120.0,2.6592,4,13,15,2,1,5.9454,4949.7114,-3.106044198550717,0.5354296636685163,-0.3369653638195945,-1.8754245,8.982844
B0020277,100.6682,13,1526.1934,3.7659,3,28,12,1,1,5.6158,4107.6583,-1.6037098473176594,-0.393162557318919,1.1234235966632808,-2.9283607,7.3996196
B0020242,106.95,23,2646.0813,22.1122,4,15,6,3,1,5.7773,3445.007,1.1348459329374532,1.1928192503289856,0.32279643407326297,0.4788716,4.594395
B0020047,126.6785,9,120.0,5.8755,4,2,9,5,1,5.0524,5205.7293,-1.839587866147947,0.5942450908251118,0.2649376562555155,0.43692303,8.350512
B0000299,69.9899,11,1876.9732,2.1302,2,7,15,3,0,6.5096,3516.4872,-2.003286213322348,-1.1866714564603587,-1.446725052189912,15.28997,6.3191137
B0007269,68.4638,3,1678.18,10.8425,2,17,9,4,1,4.4918,3345.5422,-0.10320110646663316,-1.4713690081620665,1.3320912811318357,-2.2450864,4.904906
B0003206,47.4303,25,265.012,7.4944,2,13,14,3,1,7.4451,2901.3563,-2.233821620751606,-1.4018947330201437,0.05505527925379017,-4.0293384,7.547601
B0003551,80.091,31,260.5038,8.9188,3,23,16,2,1,5.3036,3771.8621,-2.2135215569741664,-1.0427889542003053,0.35962151339151055,-4.165241,7.403495
B0012594,121.6509,6,2898.9354,15.9555,4,22,7,2,1,6.9488,4091.3627,0.31057741071276546,1.633900317848675,1.2070780615429941,0.95858306,5.816555
B0002575,58.4623,32,120.0,4.1927,2,14,13,1,1,5.5144,2868.9094,-2.0628861282942124,-1.8946156755336203,-0.6169022105200614,-4.561591,7.2352633
B0013392,72.4503,0,4448.9334,23.4332,3,11,1,5,1,4.7817,2827.5991,3.22024454169791,0.23021931973197726,1.262266687073953,-0.09715566,2.159754
B0004690,130.5052,21,2078.2856,23.797,3,4,0,3,0,5.0373,3683.0917,2.0247855551603067,1.1622154574704129,-1.9623959926444619,12.621389,4.4888825
