candidate,family,rmse,rmse_std,mae,r2,nonzero,train_rmse
ablation:access,domain,182.25542432324912,3.250689318539347,145.8744496857541,0.9657268145801327,11.0,181.7804272315578
ablation:location,domain,160.06396771546483,2.4297543111114592,127.41879225679561,0.9735625346600989,12.0,159.67806711066925
ablation:location+access+quality,domain,155.6711950576643,2.137435339574468,124.28727133470939,0.9749983262150893,15.0,155.23471238608138
ablation:quality,domain,185.0205832665751,3.4348325640852355,147.69339303704072,0.9646676612941348,12.0,184.5082800422507
ablation:space,domain,185.4778244805279,3.436540642701477,148.0626817842096,0.964494067557566,11.0,184.99882200434405
ablation:space+access+quality,domain,181.76516681778162,3.2563240772256536,145.4513617169421,0.9659089916391774,14.0,181.23573498344987
ablation:space+location+access,domain,155.98736745793008,2.121751764742355,124.60058128828493,0.9748964264534712,14.0,155.5774217863897
ablation:space+location+access+quality,domain,155.5884215592159,2.1302669557127962,124.30579845880675,0.9750242443473158,16.0,155.14376060890274
ablation:space+location+quality,domain,159.59524975150526,2.455801126377929,127.06723323564158,0.9737163167252797,15.0,159.16963198533878
dimension:pcr:1,pcr,790.8327205235425,24.70191479861487,658.4442546564657,0.35588033936565017,10.0,789.0684349062618
dimension:pcr:10,pcr,185.48958140664664,3.418460422411494,148.0783751076935,0.9644898230009579,10.0,185.01953860463726
dimension:pcr:2,pcr,410.2542395216378,9.81325693084705,330.23502944919204,0.8263580823309884,10.0,410.0110014617454
dimension:pcr:3,pcr,354.12339957554406,2.463850140267518,282.443268280521,0.8706618143114632,10.0,353.96274310417954
dimension:pcr:4,pcr,325.56311003010296,4.143494138002313,259.98130138925717,0.8905823568934286,10.0,325.40304174682524
dimension:pcr:5,pcr,273.38769892860944,4.6795516838067,218.05874445170792,0.9227890027996979,10.0,273.2427426280617
dimension:pcr:6,pcr,264.4248939626444,4.9266648956498855,211.14034147141106,0.9277485362103477,10.0,264.20557997151053
dimension:pcr:7,pcr,262.53717789760486,4.596534535805472,209.71231272452889,0.9287881805660236,10.0,262.2465333360609
dimension:pcr:8,pcr,262.3784169443472,4.5569125025105714,209.6665893557003,0.9288763527046846,10.0,262.10363709066496
dimension:pcr:9,pcr,262.1493617530433,4.290159626998537,209.64021850575196,0.9290038758319172,10.0,261.7592037023981
dimension:pls:1,pls,310.35650705436666,8.584453972225681,246.23348226481204,0.9004053451371157,10.0,310.13896847028263
dimension:pls:10,pls,185.48794101291838,3.4232545354204102,148.0813467743218,0.9644904444359005,10.0,185.0194337315974
dimension:pls:2,pls,258.14560434595114,4.41859587276961,205.7318838243139,0.9311466659237825,10.0,257.9171127440345
dimension:pls:3,pls,229.56915479275912,2.876357718070254,183.3844610250564,0.9455744751732624,10.0,229.2050068311211
dimension:pls:4,pls,210.3086492598985,2.887556700711456,168.71771582227137,0.9543134842289669,10.0,209.77412432459596
dimension:pls:5,pls,188.03786435407946,3.068386504730937,150.0687942264173,0.9635071143848482,10.0,187.50877976679584
dimension:pls:6,pls,185.99829100540285,3.173737306563116,148.40168992474415,0.9642988409020756,10.0,185.49969597075375
