step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.394337838794598429e+04,0.000000000000000000e+00,2.394337838794598429e+04,1.810369208279717270e+02,3.319203307111111371e+03,4.387796611996390084e+01,-4.228811522703016301e+00
2.000000000000000000e+00,1.810723438192978574e+04,0.000000000000000000e+00,1.810723438192978574e+04,1.457918786859236775e+02,3.319203307111111371e+03,7.921232676770476644e+01,-7.843848492635152603e+00
3.000000000000000000e+00,1.431751090499326165e+04,0.000000000000000000e+00,1.431751090499326165e+04,1.174126580689945882e+02,3.319203307111111371e+03,1.076676429398972346e+02,-1.092370572258059269e+01
4.000000000000000000e+00,1.185630193422226512e+04,0.000000000000000000e+00,1.185630193422226512e+04,9.456096526984492812e+01,3.319203307111111371e+03,1.305839695424801050e+02,-1.353966517136589687e+01
5.000000000000000000e+00,1.025766962735867492e+04,0.000000000000000000e+00,1.025766962735867492e+04,7.615952751956598377e+01,3.319203307111111371e+03,1.490401564614908807e+02,-1.575555836733857618e+01
6.000000000000000000e+00,9.219167285504468964e+03,0.000000000000000000e+00,9.219167285504468964e+03,6.134115234097478009e+01,3.319203307111111371e+03,1.639047940162525947e+02,-1.762796094366982302e+01
7.000000000000000000e+00,8.544445349602432543e+03,0.000000000000000000e+00,8.544445349602432543e+03,4.940773450952649881e+01,3.319203307111111371e+03,1.758772159368817825e+02,-1.920659488155461503e+01
8.000000000000000000e+00,8.106015336697569182e+03,0.000000000000000000e+00,8.106015336697569182e+03,3.979726688490998754e+01,3.319203307111111371e+03,1.855205014167887043e+02,-2.053484997526604516e+01
9.000000000000000000e+00,7.821088439353183276e+03,0.000000000000000000e+00,7.821088439353183276e+03,3.205729140843219938e+01,3.319203307111111371e+03,1.932880384168354624e+02,-2.165036266635638640e+01
1.000000000000000000e+01,7.635895696547188891e+03,0.000000000000000000e+00,7.635895696547188891e+03,2.582353224595357943e+01,3.319203307111111371e+03,1.995449051975714667e+02,-2.258560999992724661e+01
1.100000000000000000e+01,7.515510960527002680e+03,0.000000000000000000e+00,7.515510960527002680e+03,2.080269894706502853e+01,3.319203307111111371e+03,2.045850815185338831e+02,-2.336849076315752782e+01
1.200000000000000000e+01,7.437244548792012210e+03,0.000000000000000000e+00,7.437244548792012210e+03,1.675864529146150872e+01,3.319203307111111371e+03,2.086453033985803813e+02,-2.402287619701833066e+01
1.300000000000000000e+01,7.386354186898320222e+03,0.000000000000000000e+00,7.386354186898320222e+03,1.350122861418942399e+01,3.319203307111111371e+03,2.119162163923931530e+02,-2.456912003388255883e+01
1.400000000000000000e+01,7.353260028485630755e+03,0.000000000000000000e+00,7.353260028485630755e+03,1.087734241091681220e+01,3.319203307111111371e+03,2.145513544562728612e+02,-2.502452277220342935e+01
1.500000000000000000e+01,7.331736058015380877e+03,0.000000000000000000e+00,7.331736058015380877e+03,8.763698009147484314e+00,3.319203307111111371e+03,2.166743685789087692e+02,-2.540374863439225095e+01
1.600000000000000000e+01,7.317735407173004205e+03,0.000000000000000000e+00,7.317735407173004205e+03,7.061013946441429212e+00,3.319203307111111371e+03,2.183848465557042005e+02,-2.571919600283004570e+01
1.700000000000000000e+01,7.308627294568736943e+03,0.000000000000000000e+00,7.308627294568736943e+03,5.689338359177928517e+00,3.319203307111111371e+03,2.197629986596022320e+02,-2.598132362004197304e+01
1.800000000000000000e+01,7.302701284106481580e+03,0.000000000000000000e+00,7.302701284106481580e+03,4.584283321722432802e+00,3.319203307111111371e+03,2.208734303467454652e+02,-2.619893571783628516e+01
1.900000000000000000e+01,7.298845170576212695e+03,0.000000000000000000e+00,7.298845170576212695e+03,3.693993232941336746e+00,3.319203307111111371e+03,2.217681799893064181e+02,-2.637942968891810125e+01
2.000000000000000000e+01,7.296335653849244409e+03,0.000000000000000000e+00,7.296335653849244409e+03,2.976704073491109437e+00,3.319203307111111371e+03,2.224891649051241984e+02,-2.652901006755257995e+01
2.100000000000000000e+01,7.294702290656608056e+03,0.000000000000000000e+00,7.294702290656608056e+03,2.398778301083089648e+00,3.319203307111111371e+03,2.230701510089161559e+02,-2.665287254159789043e+01
2.200000000000000000e+01,7.293639060428515222e+03,0.000000000000000000e+00,7.293639060428515222e+03,1.933122637580598324e+00,3.319203307111111371e+03,2.235383389189667582e+02,-2.675536154785118370e+01
2.300000000000000000e+01,7.292946873755829984e+03,0.000000000000000000e+00,7.292946873755829984e+03,1.557914097693224420e+00,3.319203307111111371e+03,2.239156412512213592e+02,-2.684010475706794097e+01
2.400000000000000000e+01,7.292496191979035757e+03,0.000000000000000000e+00,7.292496191979035757e+03,1.255574172048924408e+00,3.319203307111111371e+03,2.242197112626550961e+02,-2.691012747007139794e+01
2.500000000000000000e+01,7.292202719701580463e+03,0.000000000000000000e+00,7.292202719701580463e+03,1.011942797705889685e+00,3.319203307111111371e+03,2.244647712781053315e+02,-2.696794964677744133e+01
2.600000000000000000e+01,7.292011596261541854e+03,0.000000000000000000e+00,7.292011596261541854e+03,8.156131819555452189e-01,3.319203307111111371e+03,2.246622798946101511e+02,-2.701566799228687188e+01
2.700000000000000000e+01,7.291887113253796997e+03,0.000000000000000000e+00,7.291887113253796997e+03,6.573961373005205999e-01,3.319203307111111371e+03,2.248214693582204688e+02,-2.705502523910089963e+01
