step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,1.913338720190443837e+03,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.382983749386078853e+04,0.000000000000000000e+00,2.382983749386078853e+04,1.530736353466694936e+03,3.319203307111111371e+03,5.282689610357033771e+00,-1.209338361450362914e-01
2.000000000000000000e+00,1.800143081659849850e+04,0.000000000000000000e+00,1.800143081659849850e+04,1.224653722859466370e+03,3.319203307111111371e+03,9.509021804088753527e+00,-2.467034649175999794e-01
3.000000000000000000e+00,1.426843970160403114e+04,0.000000000000000000e+00,1.426843970160403114e+04,9.797868894588176545e+02,3.319203307111111371e+03,1.289026602904795382e+01,-3.760144544766328423e-01
4.000000000000000000e+00,1.187657758202561490e+04,0.000000000000000000e+00,1.187657758202561490e+04,7.838927020430528501e+02,3.319203307111111371e+03,1.559543786646989716e+01,-5.078349498515598581e-01
5.000000000000000000e+00,1.034309964145078084e+04,0.000000000000000000e+00,1.034309964145078084e+04,6.271766395421245761e+02,3.319203307111111371e+03,1.775974980403699988e+01,-6.413431159521906233e-01
6.000000000000000000e+00,9.359047815450065173e+03,0.000000000000000000e+00,9.359047815450065173e+03,5.018030850083551400e+02,3.319203307111111371e+03,1.949137185433347952e+01,-7.758850924459226306e-01
7.000000000000000000e+00,8.726687591853962658e+03,0.000000000000000000e+00,8.726687591853962658e+03,4.015035447929867587e+02,3.319203307111111371e+03,2.087684004961198880e+01,-9.109413581234988566e-01
8.000000000000000000e+00,8.319467562235280639e+03,0.000000000000000000e+00,8.319467562235280639e+03,3.212632238874290351e+02,3.319203307111111371e+03,2.198538323760972801e+01,-1.046099822850366845e+00
9.000000000000000000e+00,8.056393534178332629e+03,0.000000000000000000e+00,8.056393534178332629e+03,2.570702861962297447e+02,3.319203307111111371e+03,2.287238451820420693e+01,-1.181034301581360468e+00
1.000000000000000000e+01,7.885627962467115140e+03,0.000000000000000000e+00,7.885627962467115140e+03,2.057152627554499418e+02,3.319203307111111371e+03,2.358215039274060842e+01,-1.315487294020909692e+00
