step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.135698834303712204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.475345366860724607e+04,5.084931338361740245e+02,2.526194680244342089e+04,1.718846557719314205e+02,3.319203307111111371e+03,3.969911220377687044e+01,-1.938012587337921921e+00
2.000000000000000000e+00,1.931201367218671658e+04,9.785998831232483326e+02,2.029061355530996661e+04,1.383401733416920649e+02,3.319203307111111371e+03,7.164962941151858900e+01,-3.679650101928453765e+00
3.000000000000000000e+00,1.567138738821563675e+04,1.396746078150966014e+03,1.706813346636660208e+04,1.113457440520406578e+02,3.319203307111111371e+03,9.736478163976939015e+01,-5.227698575658265234e+00
4.000000000000000000e+00,1.321965450086957389e+04,1.759359086139678539e+03,1.497901358700925266e+04,8.962166689954297283e+01,3.319203307111111371e+03,1.180621155313061763e+02,-6.591349463578299428e+00
5.000000000000000000e+00,1.155613504745526188e+04,2.068337801914277861e+03,1.362447284936954020e+04,7.213839756344675891e+01,3.319203307111111371e+03,1.347213024587290704e+02,-7.783589988107798341e+00
6.000000000000000000e+00,1.041779230614600056e+04,2.328313173737437864e+03,1.274610547988343751e+04,5.806762064864624762e+01,3.319203307111111371e+03,1.481306385180691620e+02,-8.819368925133126424e+00
7.000000000000000000e+00,9.631415135194054528e+03,2.545030587761034440e+03,1.217644572295508988e+04,4.674289690100887640e+01,3.319203307111111371e+03,1.589244496608678503e+02,-9.714334370080035086e+00
8.000000000000000000e+00,9.082521098559622260e+03,2.724428483528548441e+03,1.180694958208817116e+04,3.762801058213432981e+01,3.319203307111111371e+03,1.676131817938687618e+02,-1.048398994479948243e+01
9.000000000000000000e+00,8.695111048870310697e+03,2.872143476748537523e+03,1.156725452561884777e+04,3.029150948599365734e+01,3.319203307111111371e+03,1.746076071787197463e+02,-1.114315408302533683e+01
1.000000000000000000e+01,8.418470862359275998e+03,2.993272051828731946e+03,1.141174291418800749e+04,2.438622537918242017e+01,3.319203307111111371e+03,1.802382982414804360e+02,-1.170563614848590106e+01
1.100000000000000000e+01,8.218553431195879966e+03,3.092282575118719251e+03,1.131083600631459922e+04,1.963280006983726977e+01,3.319203307111111371e+03,1.847712945703864307e+02,-1.218406527955181318e+01
1.200000000000000000e+01,8.072340449322286986e+03,3.173011880830797963e+03,1.124535233015308404e+04,1.580643320684363751e+01,3.319203307111111371e+03,1.884207076820478051e+02,-1.258982463294110943e+01
1.300000000000000000e+01,7.964145027923660564e+03,3.238706315139554135e+03,1.120285134306321561e+04,1.272622140341483465e+01,3.319203307111111371e+03,1.913588624225057231e+02,-1.293305636678138271e+01
1.400000000000000000e+01,7.883180204437638167e+03,3.292083246879798025e+03,1.117526345131743619e+04,1.024658170032141946e+01,3.319203307111111371e+03,1.937244566875275780e+02,-1.322271222650911682e+01
1.500000000000000000e+01,7.821954519447718667e+03,3.335399110633752116e+03,1.115735363008147033e+04,8.250351628574867036e+00,3.319203307111111371e+03,1.956291269064390690e+02,-1.346663172118529772e+01
1.600000000000000000e+01,7.775209059266717304e+03,3.370516252050763796e+03,1.114572531131748110e+04,6.643237937708367902e+00,3.319203307111111371e+03,1.971627309416268758e+02,-1.367163517698486430e+01
1.700000000000000000e+01,7.739209858133158377e+03,3.398964613798388655e+03,1.113817447193154658e+04,5.349350233201893623e+00,3.319203307111111371e+03,1.983975990983604731e+02,-1.384362287020784876e+01
1.800000000000000000e+01,7.711274209932462327e+03,3.421996540022323643e+03,1.113327074995478688e+04,4.307607377457374653e+00,3.319203307111111371e+03,1.993919549116154712e+02,-1.398767431265436301e+01
