step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.225622995748079234e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.403112845665100394e+04,1.061761963280750649e+02,2.413730465297907722e+04,1.792167553070397332e+02,3.319203307111111371e+03,4.343918645876426154e+01,-3.790031861503376565e+00
2.000000000000000000e+00,1.823614288201927047e+04,1.921411910951833590e+02,1.842828407311445335e+04,1.443181913163112995e+02,3.319203307111111371e+03,7.841829147875222361e+01,-7.049813203682672835e+00
3.000000000000000000e+00,1.446015082832802364e+04,2.617422936104268842e+02,1.472189312193845035e+04,1.162194948987334868e+02,3.319203307111111371e+03,1.065859768143078696e+02,-9.842039596991300598e+00
4.000000000000000000e+00,1.199721620951602017e+04,3.180944574703954117e+02,1.231531066698641553e+04,9.359492703119043711e+01,3.319203307111111371e+03,1.292694246340612949e+02,-1.222512026294709919e+01
5.000000000000000000e+00,1.038876769356022669e+04,3.637196883495364546e+02,1.075248738190976292e+04,7.537737977833255343e+01,3.319203307111111371e+03,1.475370624804960755e+02,-1.425246438634378165e+01
6.000000000000000000e+00,9.336798817898457855e+03,4.006599147789548283e+02,9.737458732677412627e+03,6.070789056660792227e+01,3.319203307111111371e+03,1.622490422777011361e+02,-1.597220920511837505e+01
7.000000000000000000e+00,8.647556005016129347e+03,4.305683733744061215e+02,9.078124378390535639e+03,4.889501746933939330e+01,3.319203307111111371e+03,1.740978656538037512e+02,-1.742724459847659446e+01
8.000000000000000000e+00,8.194997704481174878e+03,4.547835984019239959e+02,8.649781302883098761e+03,3.938214825002783925e+01,3.319203307111111371e+03,1.836410802270395095e+02,-1.865542878551684680e+01
9.000000000000000000e+00,7.897077313523124758e+03,4.743893270375851330e+02,8.371466640560709493e+03,3.172119280526592178e+01,3.319203307111111371e+03,1.913275953477401004e+02,-1.968991959726103502e+01
1.000000000000000000e+01,7.700345378748309486e+03,4.902630013436622107e+02,8.190608380091971412e+03,2.555141179276703411e+01,3.319203307111111371e+03,1.975188631931696079e+02,-2.055956799552541270e+01
1.100000000000000000e+01,7.569949965985977542e+03,5.031150376366206842e+02,8.073065003622597942e+03,2.058237806401209724e+01,3.319203307111111371e+03,2.025059276837465632e+02,-2.128933692837027536e+01
