step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.819605559565538351e+04,2.488961677306383535e+02,2.844495176338602323e+04,1.804426218583530215e+02,3.319203307111111371e+03,2.193898305998195397e+01,-2.114405761351508151e+00
2.000000000000000000e+00,2.474339141101252608e+04,8.090001129539410840e+02,2.555239152396646750e+04,1.448324025804163853e+02,3.319203307111111371e+03,3.954816644590998465e+01,-3.863927308375146197e+00
3.000000000000000000e+00,2.219680634795596052e+04,1.490937118126261339e+03,2.368774346608222186e+04,1.162508726942133421e+02,3.319203307111111371e+03,5.368219038657933595e+01,-5.310221777921004360e+00
4.000000000000000000e+00,2.029751201389177731e+04,2.188170835791768241e+03,2.248568284968354419e+04,9.331051502620566396e+01,3.319203307111111371e+03,6.502697641863738909e+01,-6.504824233080257478e+00
5.000000000000000000e+00,1.886624271681138634e+04,2.844495168385419220e+03,2.171073788519680602e+04,7.489775956322968398e+01,3.319203307111111371e+03,7.413303990856880432e+01,-7.490740861492643177e+00
6.000000000000000000e+00,1.777744205441018858e+04,3.433686763700062784e+03,2.121112881811024999e+04,6.011888812568513174e+01,3.319203307111111371e+03,8.144222423409573253e+01,-8.303807697804339583e+00
7.000000000000000000e+00,1.694214308141916626e+04,3.946875385056327559e+03,2.088901846647549246e+04,4.825662263225468962e+01,3.319203307111111371e+03,8.730915586621485147e+01,-8.973845338551294404e+00
8.000000000000000000e+00,1.629654613782231536e+04,4.384792684114829171e+03,2.068133882193714453e+04,3.873528667930663971e+01,3.319203307111111371e+03,9.201846295101191231e+01,-9.525637230250595167e+00
9.000000000000000000e+00,1.579434507144723102e+04,4.753088372403881294e+03,2.054743344385111413e+04,3.109284705273287841e+01,3.319203307111111371e+03,9.579859405095707814e+01,-9.979756175717557909e+00
1.000000000000000000e+01,1.540153066947654952e+04,5.059561808062563614e+03,2.046109247753911404e+04,2.495847631289812796e+01,3.319203307111111371e+03,9.883290845020133020e+01,-1.035326085137925745e+01
1.100000000000000000e+01,1.509284000529235891e+04,5.312578713464224165e+03,2.040541871875658398e+04,2.003454602240458371e+01,3.319203307111111371e+03,1.012685768189095228e+02,-1.066028144122138777e+01
1.200000000000000000e+01,1.484930624821588935e+04,5.520212103227026091e+03,2.036951835144291545e+04,1.608217558205137721e+01,3.319203307111111371e+03,1.032237246178551544e+02,-1.091251101707416460e+01
1.300000000000000000e+01,1.465654959595339824e+04,5.689818173878663401e+03,2.034636776983206073e+04,1.290963448198945684e+01,3.319203307111111371e+03,1.047931652309013515e+02,-1.111961705164608993e+01
1.400000000000000000e+01,1.450357146387334433e+04,5.827867002677884557e+03,2.033143846655122979e+04,1.036303447100986830e+01,3.319203307111111371e+03,1.060530012868034078e+02,-1.128958544476873982e+01
1.500000000000000000e+01,1.438189358521251597e+04,5.939916977391834735e+03,2.032181056260435071e+04,8.318859443772367968e+00,3.319203307111111371e+03,1.070643176407519519e+02,-1.142900766849376915e+01
1.600000000000000000e+01,1.428493591734880647e+04,6.030665404719527942e+03,2.031560132206833441e+04,6.677970157022286912e+00,3.319203307111111371e+03,1.078761453563907793e+02,-1.154332007995375520e+01
1.700000000000000000e+01,1.420756171550452564e+04,6.104035001444200134e+03,2.031159671694872668e+04,5.360792555152883665e+00,3.319203307111111371e+03,1.085278406151366397e+02,-1.163700309535657418e+01
1.800000000000000000e+01,1.414574098943035642e+04,6.163272900369312083e+03,2.030901388979966941e+04,4.303455998231555668e+00,3.319203307111111371e+03,1.090509940598461043e+02,-1.171374674539158178e+01
1.900000000000000000e+01,1.409629880301944650e+04,6.211049200435769308e+03,2.030734800345521580e+04,3.454693838533145822e+00,3.319203307111111371e+03,1.094709632726943767e+02,-1.177658812250029996e+01
2.000000000000000000e+01,1.405672511542720895e+04,6.249548379852290964e+03,2.030627349527949991e+04,2.773355828798798939e+00,3.319203307111111371e+03,1.098081027839608481e+02,-1.182802536517512415e+01
2.100000000000000000e+01,1.402502979324374428e+04,6.280550614067045899e+03,2.030558040731079018e+04,2.226411567638436395e+00,3.319203307111111371e+03,1.100787513196603982e+02,-1.187011208600135603e+01
2.200000000000000000e+01,1.399963115700637900e+04,6.305502174441374336e+03,2.030513333144775243e+04,1.787348039634053976e+00,3.319203307111111371e+03,1.102960242077581654e+02,-1.190453552220047762e+01
2.300000000000000000e+01,1.397926969038758762e+04,6.325575245704286317e+03,2.030484493609187484e+04,1.434883449290325075e+00,3.319203307111111371e+03,1.104704494022064125e+02,-1.193268115512980110e+01
2.400000000000000000e+01,1.396294081664258556e+04,6.341718078124436033e+03,2.030465889476702068e+04,1.151934909448712574e+00,3.319203307111111371e+03,1.106104779915483505e+02,-1.195568609525661330e+01
2.500000000000000000e+01,1.394984225196238003e+04,6.354696625283420872e+03,2.030453887724580272e+04,9.247898727241619099e-01,3.319203307111111371e+03,1.107228939654475681e+02,-1.197448314978372963e+01
2.600000000000000000e+01,1.393933259063778314e+04,6.365128859347143589e+03,2.030446144998492673e+04,7.424410881079381852e-01,3.319203307111111371e+03,1.108131431221852239e+02,-1.198983717102370150e+01
2.700000000000000000e+01,1.393089860400317775e+04,6.373512893496917059e+03,2.030441149750009572e+04,5.960528048579760707e-01,3.319203307111111371e+03,1.108855970753538003e+02,-1.200237501579411692e+01
2.800000000000000000e+01,1.392412933957212590e+04,6.380249929865289232e+03,2.030437926943741331e+04,4.785323180036726853e-01,3.319203307111111371e+03,1.109437651680158581e+02,-1.201261022173763493e+01
2.900000000000000000e+01,1.391869555365873930e+04,6.385662922395901660e+03,2.030435847605464005e+04,3.841860638268030925e-01,3.319203307111111371e+03,1.109904645744921936e+02,-1.202096331883916136e+01
3.000000000000000000e+01,1.391433334480874873e+04,6.390011715034735062e+03,2.030434505984348289e+04,3.084435780074130662e-01,3.319203307111111371e+03,1.110279568409122390e+02,-1.202777853775934958e+01
3.100000000000000000e+01,1.391083110758600378e+04,6.393505295637509334e+03,2.030433640322351130e+04,2.476359231199865008e-01,3.319203307111111371e+03,1.110580574871642483e+02,-1.203333754601148264e+01
3.200000000000000000e+01,1.390801911847354313e+04,6.396311699012875579e+03,2.030433081748641780e+04,1.988178358508321253e-01,3.319203307111111371e+03,1.110822239858454026e+02,-1.203787073429272425e+01
