step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.165619371716778187e+04,0.000000000000000000e+00,2.165619371716778187e+04,1.691509414355914771e+02,3.319203307111110917e+03,3.949016950796751075e+02,-3.805930370432714227e+01
2.000000000000000000e+00,1.544455006010436409e+04,0.000000000000000000e+00,1.544455006010436409e+04,1.276914054305733259e+02,3.319203307111113190e+03,9.777134690928409100e+01,-2.640286863421320973e+01
3.000000000000000000e+00,1.198030234378013847e+04,0.000000000000000000e+00,1.198030234378013847e+04,9.671189119262739098e+01,3.319203307111110007e+03,3.220739220646213425e+02,-2.232631330932944635e+01
4.000000000000000000e+00,1.002320831546508271e+04,0.000000000000000000e+00,1.002320831546508271e+04,7.348883805143283610e+01,3.319203307111113645e+03,1.521899258042498104e+02,-3.514562143313480647e+01
5.000000000000000000e+00,8.902929849335190738e+03,0.000000000000000000e+00,8.902929849335190738e+03,5.602338207345753318e+01,3.319203307111110462e+03,2.812803337649660307e+02,-1.807338588650958755e+01
6.000000000000000000e+00,8.253226675391841127e+03,0.000000000000000000e+00,8.253226675391841127e+03,4.284479671437834014e+01,3.319203307111113190e+03,1.828697255833511690e+02,-3.659289251076774008e+01
7.000000000000000000e+00,7.871636158757151861e+03,0.000000000000000000e+00,7.871636158757151861e+03,3.286805007643681620e+01,3.319203307111110462e+03,2.581308459589673703e+02,-1.830992104168561596e+01
8.000000000000000000e+00,7.644824016488345478e+03,0.000000000000000000e+00,7.644824016488345478e+03,2.529040941739371462e+01,3.319203307111113190e+03,2.003948671934444690e+02,-3.540921575192126625e+01
9.000000000000000000e+00,7.508517716088699672e+03,0.000000000000000000e+00,7.508517716088699672e+03,1.951625520030762928e+01,3.319203307111110462e+03,2.448199711378010761e+02,-1.996610091567102430e+01
1.000000000000000000e+01,7.425785010019207220e+03,0.000000000000000000e+00,7.425785010019207220e+03,1.510230302761949872e+01,3.319203307111112736e+03,2.105377398156793447e+02,-3.357844461803466629e+01
1.100000000000000000e+01,7.375126699240996459e+03,0.000000000000000000e+00,7.375126699240996459e+03,1.171761155514924724e+01,3.319203307111110917e+03,2.370664278542263048e+02,-2.179147263699358916e+01
1.200000000000000000e+01,7.343870506926137750e+03,0.000000000000000000e+00,7.343870506926137750e+03,9.114320631987713028e+00,3.319203307111112736e+03,2.164832849431794841e+02,-3.186085774161698225e+01
1.300000000000000000e+01,7.324459186578587833e+03,0.000000000000000000e+00,7.324459186578587833e+03,7.106190132054754471e+00,3.319203307111110917e+03,2.324934900282648869e+02,-2.334904041416632481e+01
1.400000000000000000e+01,7.312337389840984542e+03,0.000000000000000000e+00,7.312337389840984542e+03,5.552820556411160346e+00,3.319203307111112281e+03,2.200107646577624791e+02,-3.048393297369275956e+01
1.500000000000000000e+01,7.304732771882925590e+03,0.000000000000000000e+00,7.304732771882925590e+03,4.348020529730716177e+00,3.319203307111111371e+03,2.297648428275396100e+02,-2.454391679944667004e+01
1.600000000000000000e+01,7.299943808832594186e+03,0.000000000000000000e+00,7.299943808832594186e+03,3.411207586814802184e+00,3.319203307111111826e+03,2.221271149917602941e+02,-2.946146443888584798e+01
1.700000000000000000e+01,7.296918543409885388e+03,0.000000000000000000e+00,7.296918543409885388e+03,2.681032882325273370e+00,3.319203307111111826e+03,2.281192382950627859e+02,-2.540936736201365065e+01
1.800000000000000000e+01,7.295002552195009230e+03,0.000000000000000000e+00,7.295002552195009230e+03,2.110640467632643347e+00,3.319203307111111826e+03,2.234097390335117836e+02,-2.873524440460251839e+01
1.900000000000000000e+01,7.293786581709695383e+03,0.000000000000000000e+00,7.293786581709695383e+03,1.664131113326689393e+00,3.319203307111111826e+03,2.271172876388442603e+02,-2.601449196662318286e+01
2.000000000000000000e+01,7.293013581337532742e+03,0.000000000000000000e+00,7.293013581337532742e+03,1.313916231847828575e+00,3.319203307111111826e+03,2.241940768490762252e+02,-2.823392201150456060e+01
