step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,1.913338720190425875e+03,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.280895981739311537e+04,0.000000000000000000e+00,3.280895981739311537e+04,1.536329259732021455e+03,3.319203307111111371e+03,7.140671652116768742e-02,-1.634676422876721541e-03
2.000000000000000000e+00,3.272919116309443416e+04,0.000000000000000000e+00,3.272919116309443416e+04,1.234720679089770329e+03,3.319203115051705481e+03,1.287432595886395525e-01,-4.825704191774571154e-03
3.000000000000000000e+00,3.267726395087015044e+04,0.000000000000000000e+00,3.267726395087015044e+04,9.934328024830119830e+02,3.319202769351739335e+03,1.748236261145477144e-01,-9.261472737033572822e-03
4.000000000000000000e+00,3.264315557525188706e+04,0.000000000000000000e+00,3.264315557525188706e+04,8.004014892872077098e+02,3.319202300746288074e+03,2.118990136354114984e-01,-1.469269366430899296e-02
5.000000000000000000e+00,3.262045156862673684e+04,0.000000000000000000e+00,3.262045156862673684e+04,6.459754270026776339e+02,3.319201733823410450e+03,2.417703801872595759e-01,-2.091993631949716492e-02
6.000000000000000000e+00,3.260504667160931058e+04,0.000000000000000000e+00,3.260504667160931058e+04,5.224335656296533443e+02,3.319201088253552825e+03,2.658784922057262357e-01,-2.778365624067623621e-02
7.000000000000000000e+00,3.259431351807991814e+04,0.000000000000000000e+00,3.259431351807991814e+04,4.235990651683054011e+02,3.319200379773069926e+03,2.853759628461294828e-01,-3.515621791965875542e-02
8.000000000000000000e+00,3.258657059360889980e+04,0.000000000000000000e+00,3.258657059360889980e+04,3.445304536187338158e+02,3.319199620971045078e+03,3.011848826395335244e-01,-4.293551301123361280e-02
9.000000000000000000e+00,3.258074172884831569e+04,0.000000000000000000e+00,3.258074172884831569e+04,2.812745533809453491e+02,3.319198821918743761e+03,3.140429240175984238e-01,-5.103985490055970575e-02
1.000000000000000000e+01,3.257613817530251254e+04,0.000000000000000000e+00,3.257613817530251254e+04,2.306688223749576423e+02,3.319197990673176719e+03,3.245402249324579880e-01,-5.940389435708107180e-02
1.100000000000000000e+01,3.257231913382138737e+04,0.000000000000000000e+00,3.257231913382138737e+04,2.341088031173621289e+02,3.319197133679951094e+03,3.331488957526256289e-01,-6.797535205765861677e-02
1.200000000000000000e+01,3.256900249283599260e+04,0.000000000000000000e+00,3.256900249283599260e+04,2.376493844751364293e+02,3.319196256095552144e+03,3.402466247797176213e-01,-7.671240460507561254e-02
1.300000000000000000e+01,3.256600770082938834e+04,0.000000000000000000e+00,3.256600770082938834e+04,2.404727493069360378e+02,3.319195362045166348e+03,3.461355626618289327e-01,-8.558159334284240471e-02
1.400000000000000000e+01,3.256321920471795238e+04,0.000000000000000000e+00,3.256321920471795238e+04,2.427223425594538355e+02,3.319194454828941616e+03,3.510574299242378848e-01,-9.455615140703985122e-02
1.500000000000000000e+01,3.256056305041542146e+04,0.000000000000000000e+00,3.256056305041542146e+04,2.445129201897472058e+02,3.319193537086995093e+03,3.552056029939677506e-01,-1.036146653677941232e-01
1.600000000000000000e+01,3.255799190719388571e+04,0.000000000000000000e+00,3.255799190719388571e+04,2.459362869631691240e+02,3.319192610931419495e+03,3.587347830194372866e-01,-1.127400045424565567e-01
1.700000000000000000e+01,3.255547548327480763e+04,0.000000000000000000e+00,3.255547548327480763e+04,2.470658866917018202e+02,3.319191678051887266e+03,3.617687309261794493e-01,-1.219184644461477063e-01
1.800000000000000000e+01,3.255299439180732588e+04,0.000000000000000000e+00,3.255299439180732588e+04,2.479604744246381642e+02,3.319190739800135361e+03,3.644064554614181439e-01,-1.311390815521922826e-01
1.900000000000000000e+01,3.255053622509429988e+04,0.000000000000000000e+00,3.255053622509429988e+04,2.486670542011183898e+02,3.319189797257552527e+03,3.667271636297285142e-01,-1.403930851004674130e-01
