name,mode,status,steps,alpha,l1,l2,train_mse,nonzero
normal,standard,analytic,0,0.19517764932224482,0.0,0.0,14583.30874233182,2
baseline,standard,converged,111,0.19517764932224482,0.0,0.0,14583.30874233182,2
raw_adapted,none,max_iter,20000,3.73204784744339e-05,0.0,0.0,51163.5582695598,2
center_adapted,center,converged,1979,0.002760979827884956,0.0,0.0,14583.308742331821,2
raw_same,none,diverged,3,0.19517764932224482,0.0,0.0,8.739929365520286e+20,2
lr_0.05,standard,converged,481,0.048794412330561206,0.0,0.0,14583.30874233182,2
lr_1,standard,converged,8,0.975888246611224,0.0,0.0,14583.308742331821,2
lr_1.8,standard,converged,104,1.7565988439002034,0.0,0.0,14583.308742331821,2
lr_2.2,standard,diverged,80,2.146954142544693,0.0,0.0,9.396744207483894e+16,2
l1_0.01,standard,converged,111,0.19517764932224482,2.248104036109175,0.0,14593.672754695604,2
l1_0.1,standard,converged,111,0.19517764932224482,22.481040361091747,0.0,15619.70997194229,2
l1_1,standard,converged,0,0.19517764932224482,224.81040361091746,0.0,65864.46046926739,0
l2_0.01,standard,converged,111,0.1932451973487572,0.0,0.010247074944006182,14588.649656749501,2
l2_0.1,standard,converged,111,0.17743422665658612,0.0,0.10247074944006183,15031.264020740973,2
l2_1,standard,converged,109,0.09758882466112243,0.0,1.0247074944006183,27793.106566177168,2
elastic_0.01,standard,converged,111,0.19420661624103952,1.1240520180545874,0.005123537472003091,14590.175239524473,2
elastic_0.1,standard,converged,111,0.18588347554499512,11.240520180545873,0.05123537472003092,15209.851733608415,2
elastic_1,standard,converged,106,0.13011843288149652,112.40520180545873,0.5123537472003091,37970.69720404781,1
