model,penalty,fold,rmse,mae,r2,mse,bias
basic,0.0,1,457.5550941215413,378.66588811454244,0.7886616433301039,209356.66415657251,11.317834774870605
basic,0.0,2,468.4099792657314,383.5810615343678,0.7804802514616338,219407.90867572295,-2.9412222503687273
basic,0.0,3,464.18259239251455,386.93681411174856,0.7612835804944227,215465.47908023532,17.475312249632424
basic,0.0,4,474.63615651686723,392.66476219170926,0.7816742900137597,225279.4810731041,1.8644905170344355
basic,0.0,5,459.7797268545924,378.2193661496697,0.7732648726506927,211397.3972264836,-28.07172804050334
full,0.0,1,181.59472898338367,145.42932542490556,0.966711209712315,32976.645594548565,7.69387015787512
full,0.0,2,188.95468087252354,149.92556011821486,0.9642779290679679,35703.87142363721,-2.4433599966013215
full,0.0,3,187.9938123393557,148.9346971312688,0.9608445966008585,35341.67347788489,-6.1416452164853785
full,0.0,4,186.82078856436652,150.0269679553947,0.9661753239548748,34902.00703981174,1.0403032773225611
full,0.0,5,182.07569430496255,146.09018324182506,0.9644431628434861,33151.55845663417,-0.3319887352934332
ridge,1e-05,1,181.59544058611863,145.42957407277729,0.9667109488188323,32976.904041666545,7.693854642663905
ridge,1e-05,2,188.95419536725038,149.92538360165068,0.9642781126382446,35703.687946885024,-2.4435966530405886
ridge,1e-05,3,187.99381140147878,148.93418712708979,0.960844596991541,35341.67312525477,-6.14102491691322
ridge,1e-05,4,186.8203744805554,150.02610534331043,0.9661754738978802,34901.85232105495,1.0404949409168154
ridge,1e-05,5,182.07585868570368,146.08992905218398,0.9644430986409367,33151.61831613634,-0.3325376465754595
ridge,0.0001,1,181.60190160136435,145.4318103596721,0.9667085799829992,32979.25066523162,7.693714633237005
ridge,0.0001,2,188.94988268794654,149.92379602051207,0.9642797432480961,35702.05816778876,-2.445725099730804
ridge,0.0001,3,187.9938547604758,148.92959784026237,0.9608445789298912,35341.68942770287,-6.1354443310347095
ridge,0.0001,4,186.81670815864106,150.0184893904379,0.9661768014873872,34900.48244723087,1.0422179696453346
ridge,0.0001,5,182.07739516593782,146.08764178003372,0.9644424985316522,33152.17783041308,-0.3374749676607312
ridge,0.001,1,181.67203056762378,145.45794202108792,0.9666828628110629,33004.72669056363,7.692278049588098
ridge,0.001,2,188.9123126778806,149.91076166855697,0.9642939467709218,35687.86188130533,-2.4668660734013708
ridge,0.001,3,187.99934398872668,148.88407519850972,0.9608422923000255,35343.753340191586,-6.079845884817576
ridge,0.001,4,186.7859502774211,149.94816873691502,0.9661879380103628,34888.99122103923,1.0592573334267845
ridge,0.001,5,182.09832923577812,146.06753418413058,0.9644343217229998,33159.801510461846,-0.3865651645381263
ridge,0.01,1,182.8499201622242,146.09048336280821,0.9662494319732297,33434.09330333176,7.674622477824023
ridge,0.01,2,189.02593331640236,150.1011187734566,0.9642509832972668,35730.80346613699,-2.665010579334925
ridge,0.01,3,188.4943817988414,148.7970558073788,0.9606358015001765,35530.131969727394,-5.543207654046306
ridge,0.01,4,186.9985821184768,149.64081077783823,0.9661109128041981,34968.46971432071,1.21194626610926
ridge,0.01,5,182.79317189936754,146.2359476163105,0.9641623840368806,33413.343693031726,-0.8511608062226311
ridge,0.1,1,209.25678956280473,166.3205407829453,0.955797111234945,43788.40397813194,7.359433519167506
ridge,0.1,2,208.173959551583,164.83075698007607,0.9566415124915375,43336.39743538412,-3.9218047105942895
ridge,0.1,3,208.16617236205187,163.372227502485,0.9519907517109462,43333.15531586749,-1.3241660396524737
ridge,0.1,4,208.2527269601926,163.6104279181925,0.9579694921068722,43369.198286356535,1.755215707674414
ridge,0.1,5,205.97746923803174,163.54079277754184,0.9544950534053551,42426.717833704315,-3.9943878926539242
ridge,1.0,1,407.51383714578793,325.95509158885466,0.8323605389294024,166067.52746528375,5.633236782060273
ridge,1.0,2,402.39614598124626,321.1281865919692,0.8379948040736427,161922.65830056043,-8.420204733513877
ridge,1.0,3,384.07671468141905,303.27509765903153,0.8365667004508477,147514.92276047217,19.779634100813876
ridge,1.0,4,413.5395832878336,328.0452101439806,0.8342637852972956,171014.98694587505,-1.4670364229638582
ridge,1.0,5,396.5364976126809,317.682359192058,0.831350325973482,157241.19393893165,-15.593903566274404
expanded,0.0,1,153.21646764297518,123.06567441485741,0.9763025056952762,23475.285956990858,5.761844543870115
expanded,0.0,2,157.70903417207182,125.07691337020658,0.9751151823436434,24872.139459487717,-4.898245237937364
expanded,0.0,3,156.53125649047723,124.2383636490345,0.9728539443359692,24502.034258487573,-1.7986234927434024
expanded,0.0,4,158.27818403812347,127.35963366365414,0.9757213037449933,25051.983542406084,3.8572538020235747
expanded,0.0,5,154.61024611901118,123.12990235826885,0.97436131678599,23904.328204981208,-2.9835110896427346
expanded,1e-05,1,153.21746441514966,123.06720287925981,0.9763021973592322,23475.59140180765,5.76266086678062
expanded,1e-05,2,157.70912967829295,125.07781075523489,0.975115152203891,24872.16958388462,-4.897342947414128
expanded,1e-05,3,156.53230983333472,124.2390554385014,0.9728535789878503,24502.364021759095,-1.8004100409944095
expanded,1e-05,4,158.2772161799128,127.35942600644071,0.9757216006685878,25051.677161662858,3.856714239498469
expanded,1e-05,5,154.6089974209344,123.12960820447363,0.9743617309221283,23903.942083506503,-2.982981048483467
expanded,0.0001,1,153.2268115222983,123.08101743264243,0.9762993058787099,23478.45576928993,5.769972646136414
expanded,0.0001,2,157.71036002039196,125.08584230896244,0.9751147639321992,24872.557657761645,-4.889275480817817
expanded,0.0001,3,156.5421309888746,124.24527919611467,0.9728501724376346,24505.43877453797,-1.8163776922727353
expanded,0.0001,4,158.26896837530282,127.35790784529493,0.9757241308909589,25049.0663505826,3.8518778335908572
expanded,0.0001,5,154.59824584003633,123.12724403653552,0.9743652965922276,23900.61761681631,-2.978248058482116
expanded,0.001,1,153.35458939717122,123.23004900612274,0.9762597607492463,23517.630089174985,5.83977422513911
expanded,0.001,2,157.7564571091948,125.18158099277086,0.9751002144176991,24887.099759645218,-4.81360115958798
expanded,0.001,3,156.67126988353795,124.34403889885706,0.9728053596467059,24545.886806920385,-1.9655893261769275
expanded,0.001,4,158.22874522901762,127.3539156753053,0.9757364684674856,25036.335816749368,3.80538191074547
expanded,0.001,5,154.5353886730416,123.12329412386683,0.9743861376729889,23881.186352328034,-2.9344442248072506
expanded,0.01,1,156.3893164276738,125.69275530513896,0.9753108749660993,24457.618292715084,6.314023000826787
expanded,0.01,2,159.93987661794515,127.31779100692498,0.9744061964598593,25580.764132563516,-4.3838007796154885
expanded,0.01,3,159.46838016966188,126.74498623641959,0.9718256595496115,25430.164273935814,-2.775107315172098
expanded,0.01,4,160.0187418965492,128.4848079554953,0.9751843904565768,25605.997758154423,3.4725898542616815
expanded,0.01,5,156.31374583120697,124.80772113701562,0.9737932289726929,24433.987135783176,-2.731422539550085
expanded,0.1,1,193.67184633622625,154.79490427790358,0.9621361717022213,37508.78406328283,7.05145734320662
expanded,0.1,2,190.61757901287885,151.83847409718032,0.9636464173233164,36335.06142873111,-4.80449332018636
expanded,0.1,3,191.00095310776814,151.15007073875958,0.9595819216564995,36481.36408807584,-0.8501671060261031
expanded,0.1,4,192.14520590912443,152.43205393481452,0.9642198340646404,36919.78015385983,2.595819106790699
expanded,0.1,5,190.3899019519899,151.03791379263333,0.9611217244283281,36248.314765288334,-4.120296885175836
expanded,1.0,1,391.82364576810994,315.7659808132797,0.8450210126407917,153525.76938301328,5.897425992472369
expanded,1.0,2,384.555016754363,309.6781281593132,0.8520420581905259,147882.56091094844,-9.425097711606636
expanded,1.0,3,369.87469039092787,294.5905246286923,0.8484298006489339,136807.28659178477,18.39197201835359
expanded,1.0,4,395.99109047294996,317.0555949445325,0.848031326200548,156808.94373395605,-1.8615969000720802
expanded,1.0,5,383.3725733409025,310.27572354091365,0.8423618776219339,146974.52999002565,-13.075878241441977
