listing_id,fold
B0002711,1
B0012825,4
B0013895,4
B0021501,5
B0008808,5
B0021255,5
B0012289,3
B0019590,3
B0009444,1
B0016209,5
B0010088,4
B0000336,4
B0006645,2
B0003818,4
B0006395,1
B0017912,2
B0014647,5
B0020036,1
B0011314,3
B0011694,1
B0003742,4
B0002064,4
B0005269,4
B0009301,1
B0001179,3
B0001842,3
B0016841,2
B0020500,4
B0013598,4
B0016775,2
B0021453,2
B0020277,1
B0020242,3
B0020047,2
B0000299,5
B0007269,4
B0003206,4
B0003551,1
B0012594,4
B0002575,3
B0013392,4
B0004690,1
B0018467,4
B0002426,2
B0013568,2
B0001205,1
B0012995,4
B0011183,2
B0018110,1
B0020501,3
B0021708,1
B0003753,2
B0003871,3
B0009913,4
B0002851,5
B0003405,5
B0010917,3
B0001951,2
B0019840,1
B0004702,2
B0020913,4
B0001207,1
B0020305,2
B0005017,2
B0012477,5
B0002828,1
B0000343,5
B0016809,3
B0011720,3
B0014245,1
B0017779,2
B0009107,2
B0015563,4
B0019762,1
B0002451,4
B0014061,2
B0019780,2
B0019922,5
B0013342,4
B0017106,1
B0009789,1
B0012607,3
B0000607,3
B0016982,3
B0015815,1
B0006698,3
B0006915,2
B0020056,1
B0017363,1
B0016523,4
B0018896,2
B0021208,1
B0008157,2
B0001930,1
B0013632,5
B0020709,1
B0005094,1
B0005918,4
B0021007,5
B0003722,3
B0005765,1
B0012326,1
B0002098,2
B0005959,3
B0007366,3
B0018393,4
B0014253,1
B0015656,1
B0003036,2
B0009706,2
B0011195,2
B0003143,3
B0016439,3
B0010391,2
B0005760,5
B0003932,3
B0010379,5
B0007205,5
B0021683,3
B0004491,5
B0010127,2
B0020031,1
B0021380,2
B0012017,3
B0012796,2
B0003470,5
B0019055,5
B0004673,5
B0000722,4
B0008716,4
B0001342,5
B0019123,1
B0021366,1
B0018895,5
B0009696,2
B0007603,2
B0004439,3
B0019960,5
B0003839,3
B0000122,3
B0004079,4
B0002618,3
B0007007,2
B0011300,5
B0010890,2
B0000332,4
B0012610,5
B0004640,4
B0005788,4
B0012173,2
B0011078,3
B0007713,2
B0018361,3
B0000797,4
B0002434,5
B0016354,3
B0001911,1
B0009118,1
B0005312,4
B0000556,3
B0012036,5
B0013519,5
B0017746,4
B0022033,4
B0006830,5
B0016406,4
B0004014,3
B0002917,1
B0017057,1
B0003475,1
B0016381,3
B0006531,4
B0012839,2
B0004869,3
B0014543,3
B0021465,3
B0002646,1
B0015924,1
B0000568,2
B0003416,1
B0019919,3
B0001960,2
B0003310,3
B0010826,2
B0020562,2
B0022199,1
B0008646,4
B0002512,3
B0001158,1
B0011911,5
B0000920,5
B0007272,3
B0003763,2
B0013020,3
B0015011,3
B0006081,2
B0011279,1
B0010429,5
B0008631,1
B0007807,1
B0012561,5
B0003449,5
B0006603,5
B0001221,2
B0020457,4
B0022120,3
B0013570,5
B0021000,4
B0019587,1
B0015549,2
B0014548,2
B0015360,3
B0021808,3
B0019926,4
B0005644,3
B0010078,4
B0003865,1
B0012208,1
B0011853,3
B0010410,2
B0007856,3
B0017188,1
B0011910,1
B0006049,5
B0005990,5
B0004363,5
B0004310,4
B0015785,2
B0021753,1
B0008826,2
B0016356,1
B0020254,1
B0020209,5
B0007139,1
B0007987,3
B0013304,5
B0008023,4
B0022198,4
B0000174,2
B0021682,1
B0006429,2
B0017616,5
B0012866,5
B0005233,4
B0020028,4
B0001078,1
B0009219,3
B0000521,1
B0014485,1
B0006638,5
B0021976,4
B0009418,1
B0001350,2
B0020207,5
B0004511,1
B0004160,5
B0014086,3
B0020680,2
B0015670,3
B0005858,1
B0018668,5
B0001251,4
B0020533,5
B0001415,1
B0012277,3
